chi,slope_k_lt_K_phi,slope_K_phi_lt_k_lt_K_i,slope_k_gt_K_i
2.7777777777777772,-0.4139739210467837,-1.7295215856222597,-4.2953785162779115
2.8282828282828287,-0.4090894964922695,-1.7178844212199225,-4.296591032756467
2.878787878787879,-0.40874283950611373,-1.7052640955418663,-4.297226878989267
2.929292929292929,-0.4124552454095977,-1.6916264314388845,-4.29729529935277
2.9797979797979797,-0.4196939290144053,-1.6769507975098377,-4.296806664290366
3.0303030303030303,-0.42988012279254334,-1.6612290217845063,-4.29577215568486
3.080808080808081,-0.4423985021573002,-1.6444653260859554,-4.294203389417995
3.131313131313131,-0.45660829835003064,-1.6266758424922083,-4.29211248899695
3.1818181818181808,-0.47185521287519955,-1.6078889397501628,-4.28951163961935
3.2323232323232323,-0.4874843350190605,-1.5881460533085077,-4.286413297388844
3.282828282828283,-0.5028539577532848,-1.5675020410344693,-4.282830050911063
3.333333333333334,-0.5173504254831641,-1.5460257603443863,-4.27877452652494
3.383838383838383,-0.5304022371525173,-1.5238014301756402,-4.2742597224566765
3.4343434343434347,-0.5414955707238649,-1.5009289371051002,-4.269298964354735
3.4848484848484853,-0.550188730217086,-1.4775243605589337,-4.263906098024991
3.535353535353536,-0.5561265450554714,-1.4537196045542298,-4.258095328900553
3.5858585858585856,-0.5590526807854228,-1.4296629824100424,-4.251881649393309
3.6363636363636362,-0.5588207084687437,-1.40551792265502,-4.245280641671037
3.6868686868686864,-0.5554020494856239,-1.3814610455031207,-4.238308240217625
3.7373737373737375,-0.5488904277361994,-1.3576812164089305,-4.230980988703012
3.7878787878787876,-0.5395018413351407,-1.3343762794141307,-4.2233156919133545
3.8383838383838382,-0.5275697399363541,-1.3117501139854841,-4.21532937285203
3.888888888888889,-0.5135343503889881,-1.2900083447057724,-4.207038823248606
3.9393939393939394,-0.49792738628919264,-1.269355090419768,-4.198460907381694
3.98989898989899,-0.4813510620101576,-1.2499878721217317,-4.18961221241047
4.040404040404041,-0.46445248322902255,-1.2320925961381242,-4.180508771917388
4.090909090909091,-0.44789638861142284,-1.2158393852325133,-4.171166420992981
4.141414141414141,-0.43233493305482434,-1.2013774427318495,-4.16160035332136
4.191919191919192,-0.41837881583242903,-1.1888306682337444,-4.151825296037827
4.242424242424242,-0.40656992309875617,-1.1782932533003654,-4.1418551128691
4.292929292929294,-0.3973591653348135,-1.1698266210077422,-4.131703198002526
4.343434343434344,-0.39108888083405463,-1.1634562075576627,-4.121382115120981
4.393939393939394,-0.38798211475992794,-1.1591692359217523,-4.110903300030555
4.444444444444445,-0.388139426099915,-1.1569137373509395,-4.100277513394243
4.494949494949495,-0.39154188408665547,-1.1565979798902224,-4.089514370756613
4.545454545454545,-0.39806047436238134,-1.158091205733109,-4.078622718624156
4.595959595959596,-0.40747076937404964,-1.161225245091063,-4.067610115169819
4.646464646464646,-0.4194704223536985,-1.1657970202045649,-4.056483455736496
4.696969696969697,-0.43369908105533694,-1.17157216958448,-4.045248979301624
4.747474747474748,-0.44975935496078906,-1.1782892859316036,-4.033911919285102
4.7979797979797985,-0.46723555312155507,-1.1856648765321354,-4.0224772969629115
4.848484848484849,-0.4857121556547153,-1.1933990335161755,-4.010949760083624
4.898989898989899,-0.5047888588582816,-1.2011811166779935,-3.9993337965576337
4.94949494949495,-0.5240937858654592,-1.208696337035322,-3.987633694037502
4.999999999999999,-0.5432918516455592,-1.2156311809509965,-3.975854125451627
